,google,ads,non-google,amp
data/iPhone-X/2020/01/04/Lenovo/png/abstract_painting_img.png,-22119.638031,22119.638031,0.0,0.0
data/iPhone-X/2019/12/12/Virgil-Abloh/png/abstract_painting_img.png,-22119.638031,41125.397031,0.0,0.0
data/iPhone-X/2019/12/22/Zoom-lens/png/abstract_painting_img.png,-22119.638031,22119.638031,0.0,0.0
data/iPhone-X/2019/12/22/Smart-thermostat/png/abstract_painting_img.png,-22119.638031,41125.397031,0.0,0.0
data/iPhone-X/2019/12/13/Austin-Peay-State-University/png/abstract_painting_img.png,14729.463225,0.0,0.0,0.0
data/iPhone-X/2019/12/10/North-Carolina-Education-Lottery/png/abstract_painting_img.png,0.0,0.0,33719.895,0.0
data/iPhone-X/2020/01/06/Sengled/png/abstract_painting_img.png,0.0,0.0,68972.5125,0.0
data/iPhone-X/2019/12/12/Ice-cream/png/abstract_painting_img.png,0.0,0.0,-8448.36642,46404.70641
data/iPhone-X/2019/12/24/CVS-Pharmacy/png/abstract_painting_img.png,0.0,0.0,33719.895,0.0
data/iPhone-X/2019/12/19/Uninterruptible-power-supply/png/abstract_painting_img.png,-22119.638031,22119.638031,0.0,0.0
data/iPhone-X/2019/12/17/V8-engine/png/abstract_painting_img.png,-22119.638031,22119.638031,0.0,0.0
data/iPhone-X/2019/12/10/Lucky-Charms/png/abstract_painting_img.png,-4169.0052,-4169.0052,0.0,0.0
data/iPhone-X/2019/12/09/Coolest-Cooler/png/abstract_painting_img.png,-22119.638031,22119.638031,0.0,0.0
data/iPhone-X/2020/01/06/ROG-STRIX-Series/png/abstract_painting_img.png,-22119.638031,22119.638031,0.0,0.0
data/iPhone-X/2020/01/02/Economy-of-Singapore/png/abstract_painting_img.png,0.0,0.0,20231.936999999998,0.0
data/iPhone-X/2019/12/15/Northwestern-Medicine-Central-DuPage-Hospital/png/abstract_painting_img.png,14729.463225,0.0,0.0,0.0
data/iPhone-X/2019/12/23/John-Mayer/png/abstract_painting_img.png,108972.891216,0.0,0.0,0.0
data/iPhone-X/2019/12/22/University-of-Alabama-at-Birmingham/png/abstract_painting_img.png,14729.463225,0.0,0.0,0.0
data/iPhone-X/2020/01/03/Hair-loss/png/abstract_painting_img.png,35589.81645,0.0,0.0,0.0
data/iPhone-X/2019/12/24/Onion/png/abstract_painting_img.png,0.0,0.0,33719.895,0.0
data/iPhone-X/2019/12/06/SouthDoyle-High-School/png/abstract_painting_img.png,14729.463225,0.0,0.0,0.0
data/iPhone-X/2019/12/06/Paul-Weiss-Rifkind-Wharton-Garrison/png/abstract_painting_img.png,14729.463225,0.0,0.0,0.0
data/iPhone-X/2019/12/06/Opera-House-Manchester/png/abstract_painting_img.png,14729.463225,0.0,0.0,0.0
data/iPhone-X/2019/12/01/Cajun-Field/png/abstract_painting_img.png,14729.463225,0.0,0.0,0.0
data/iPhone-X/2019/12/01/New-Mexico-Lobos-football/png/abstract_painting_img.png,0.0,0.0,0.0,46984.688604
data/iPhone-X/2019/12/07/Cartoon-Network/png/abstract_painting_img.png,0.0,0.0,33719.895,0.0
data/iPhone-X/2019/12/21/AFC-East/png/abstract_painting_img.png,22179.107664,0.0,0.0,54864.108432
data/iPhone-X/2019/12/21/Podcast/png/abstract_painting_img.png,0.0,0.0,68972.5125,0.0
data/iPhone-X/2019/12/21/Live-television/png/abstract_painting_img.png,0.0,0.0,33719.895,0.0
data/iPhone-X/2019/12/21/Remote-control/png/abstract_painting_img.png,0.0,0.0,33719.895,0.0
data/iPhone-X/2019/12/26/Lexmark/png/abstract_painting_img.png,14729.463225,0.0,0.0,0.0
data/iPhone-X/2019/12/17/LogMeIn-Inc/png/abstract_painting_img.png,29458.92645,0.0,0.0,0.0
data/iPhone-X/2019/12/28/Dame/png/abstract_painting_img.png,0.0,0.0,0.0,87257.278836
data/iPhone-X/2019/12/19/Luzerne-County/png/abstract_painting_img.png,0.0,0.0,0.0,27432.054216
data/iPhone-X/2019/12/10/Virizion/png/abstract_painting_img.png,0.0,0.0,0.0,144164.199816
data/iPhone-X/2019/12/17/DePaul-University/png/abstract_painting_img.png,14729.463225,0.0,0.0,0.0
data/iPhone-X/2019/12/31/Pound/png/abstract_painting_img.png,156328.498665,0.0,0.0,0.0
data/iPhone-X/2019/12/31/Marquette/png/abstract_painting_img.png,14729.463225,0.0,0.0,0.0
data/iPhone-X/2019/12/09/Roofer/png/abstract_painting_img.png,0.0,91733.44162499999,0.0,0.0
data/iPhone-X/2019/12/07/BORUSSIAPARK/png/abstract_painting_img.png,29458.92645,0.0,75134.05695,0.0
data/iPhone-X/2020/01/06/MetricStream/png/abstract_painting_img.png,14729.463225,0.0,0.0,0.0
data/iPhone-X/2020/01/06/Butler-Hospital/png/abstract_painting_img.png,14729.463225,0.0,0.0,0.0
data/iPhone-X/2020/01/01/Cotton-Bowl-Stadium/png/abstract_painting_img.png,14729.463225,0.0,0.0,0.0
data/iPhone-X/2020/01/01/Millionaire-Raffle/png/abstract_painting_img.png,0.0,0.0,0.0,54864.108432
