,amp,google,ads,non-google
data/iPhone-X/2019/11/05/Ovarian-cancer/png/abstract_painting_img.png,25069.20921,0.0,0.0,0.0
data/iPhone-X/2019/11/05/Rupert-Sanders/png/abstract_painting_img.png,0.0,8534.19888,0.0,0.0
data/iPhone-X/2019/11/20/Intracranial-pressure/png/abstract_painting_img.png,25069.20921,0.0,0.0,0.0
data/iPhone-X/2019/11/20/Moe-Chronicle/png/abstract_painting_img.png,0.0,0.0,57339.148725,0.0
data/iPhone-X/2019/11/18/Calendar/png/abstract_painting_img.png,0.0,16026.14646,0.0,44271.156689999996
data/iPhone-X/2019/11/18/NYSEDRD/png/abstract_painting_img.png,25069.20921,0.0,0.0,0.0
data/iPhone-X/2019/11/18/Qantas/png/abstract_painting_img.png,0.0,13853.359044,0.0,0.0
data/iPhone-X/2019/11/18/NYSEGM/png/abstract_painting_img.png,25069.20921,0.0,0.0,0.0
data/iPhone-X/2019/11/18/NYSEDIS/png/abstract_painting_img.png,25069.20921,0.0,0.0,0.0
data/iPhone-X/2019/11/27/Strawn/png/abstract_painting_img.png,25069.20921,0.0,0.0,0.0
data/iPhone-X/2019/11/27/Interstate-75/png/abstract_painting_img.png,25069.20921,0.0,0.0,0.0
data/iPhone-X/2019/11/11/Multicore-processor/png/abstract_painting_img.png,69073.672185,0.0,0.0,23943.577806
data/iPhone-X/2019/11/11/Dental-surgery/png/abstract_painting_img.png,0.0,0.0,0.0,25069.20921
data/iPhone-X/2019/11/11/Google/png/abstract_painting_img.png,0.0,25069.20921,0.0,0.0
data/iPhone-X/2019/11/29/NFL-on-Thanksgiving-Day/png/abstract_painting_img.png,25069.20921,0.0,0.0,0.0
data/iPhone-X/2019/11/16/Dosing/png/abstract_painting_img.png,25069.20921,0.0,0.0,0.0
data/iPhone-X/2019/11/16/Family-Edition-Come-Hell-or-High-Water/png/abstract_painting_img.png,0.0,46523.645676,0.0,0.0
data/iPhone-X/2019/11/10/NYSEBABA/png/abstract_painting_img.png,25069.20921,0.0,0.0,0.0
data/iPhone-X/2019/11/19/WhatsApp/png/abstract_painting_img.png,0.0,41337.525825,0.0,38078.95779
data/iPhone-X/2019/11/21/Hand-luggage/png/abstract_painting_img.png,25069.20921,0.0,0.0,25069.20921
data/iPhone-X/2019/11/07/Bangladesh-national-cricket-team/png/abstract_painting_img.png,0.0,0.0,0.0,23261.822838
data/iPhone-X/2019/11/07/Logitech-G502/png/abstract_painting_img.png,0.0,0.0,0.0,50355.451926
data/iPhone-X/2019/11/07/Long-black/png/abstract_painting_img.png,66673.42875,0.0,0.0,0.0
data/iPhone-X/2019/11/09/Manchester-Airport/png/abstract_painting_img.png,25069.20921,14729.463225,0.0,0.0
data/iPhone-X/2019/11/09/Water-Filter/png/abstract_painting_img.png,0.0,0.0,0.0,43544.646225
data/iPhone-X/2019/11/09/Hand-sanitizer/png/abstract_painting_img.png,25069.20921,0.0,0.0,0.0
data/iPhone-X/2019/11/08/Derail/png/abstract_painting_img.png,100276.83684,0.0,0.0,0.0
data/iPhone-X/2019/11/18/Earthquake/png/abstract_painting_img.png,0.0,21335.4972,0.0,-181351.7262
data/iPhone-X/2019/11/08/Heating-ventilation-and-air-conditioning/png/abstract_painting_img.png,0.0,0.0,84008.520225,0.0
data/iPhone-X/2019/11/06/Wynn-Las-Vegas/png/abstract_painting_img.png,0.0,72526.589433,32003.2458,0.0
