category,dist,dist_median,min,25,50,75,max,std,sem_error,n,descriptive_name
organic-search_result,0.2310514394280617,0.2405431619786615,0.0008871802454532012,0.15058655234642368,0.2405431619786615,0.31942873993528115,0.7076566125290024,0.12535756285512076,0.001014550542409364,15267,non-Google Traditional Result
organic,0.13565545430368886,0.0930825489698702,0.0010727695333452528,0.06806898757885799,0.0930825489698702,0.16235543810732642,0.9246575342465754,0.11966936690598125,0.0009928418562488747,14528,non-Google Link
ads,0.08114340260063507,0.001384402694442457,0.0006929206605843631,0.001169305733052026,0.001384402694442457,0.0055143181440731855,0.9629451972658593,0.21550111664070576,0.0056554376228716546,1452,Ad
amp-card,0.2747116862649494,0.27174261655284193,0.0017798872738059926,0.054366089928809785,0.27174261655284193,0.4391134637155423,0.9080072557657424,0.1954284913391135,0.002109814318851984,8580,AMP Article
amp-visual_stories,0.17109155305591034,0.1623850451480714,0.05014687368862778,0.08975628423587523,0.1623850451480714,0.2357784277330703,0.8927437087710726,0.08735635204053144,0.003010498700377625,842,AMP Story
google-images,0.102568365908311,0.03499079189686925,-0.002544529262086514,0.023465423465423463,0.03499079189686925,0.15182481751824814,0.9439024390243902,0.13073309523669074,0.0011421767627804993,13101,Google Images
youtube,0.3550208719023157,0.4011470489263396,0.015355741341068076,0.1779651507774701,0.4011470489263396,0.5028997529439345,0.8937441056271612,0.186085906509879,0.001954580375459399,9064,YouTube
google-maps,0.161038537837803,0.10709043077605257,0.0010111223458038423,0.016622312579219898,0.10709043077605257,0.25944397911552336,0.8953377735490009,0.17668802350479787,0.004614664451656923,1466,Google Maps
google-answer,0.1411995545244977,0.0863489104833497,0.0009114385538508279,0.06160259379342287,0.0863489104833497,0.1930507505038893,0.9490560383578064,0.13654319500844833,0.0011416718952400868,14304,Direct Answer
google-search,0.3164498951657586,0.2442523089015524,-0.0002586652871184687,0.1466001587340796,0.2442523089015524,0.40638186593073977,0.9933259176863182,0.2546909195553438,0.002061278192527164,15267,Google Search
